name	title	country	host	date
CY178815.1	Influenza A virus (A/mallard/Wisconsin/984/1982(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1982-XX-XX
CY179403.1	Influenza A virus (A/mallard/Wisconsin/411/1981(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1981-XX-XX
CY179411.1	Influenza A virus (A/mallard/Wisconsin/568/1982(H5N1)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1982-XX-XX
CY179763.1	Influenza A virus (A/mallard/Alabama/847/1975(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1975-XX-XX
CY179779.1	Influenza A virus (A/mallard/Wisconsin/42/1975(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1975-XX-XX
CY180380.1	Influenza A virus (A/blue-winged teal/Wisconsin/231/1976(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Spatula discors	1976-XX-XX
CY180388.1	Influenza A virus (A/mallard/Wisconsin/232/1976(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	1976-XX-XX
CY180532.1	Influenza A virus (A/duck/Minnesota/63/1976(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anatidae	1976-XX-XX
CY180540.1	Influenza A virus (A/green-winged teal/Wisconsin/103/1976(H5N2)) hemagglutinin (HA) gene, complete cds	USA	Anas carolinensis	1976-XX-XX
CY176973.1	Influenza A virus (A/mallard/California/1418/2013(H5N6)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-07-23
CY177069.1	Influenza A virus (A/mallard/California/928V/2013(H5N5)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-08-01
CY177109.1	Influenza A virus (A/mallard/California/942V/2013(H5N5)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-08-01
CY177199.1	Influenza A virus (A/mallard/California/1375/2013(H5N5)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-07-22
CY177215.1	Influenza A virus (A/mallard/California/1386/2013(H5N5)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-07-23
CY177223.1	Influenza A virus (A/mallard/California/1392/2013(H5N5)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-07-23
CY177231.1	Influenza A virus (A/mallard/California/1395/2013(H5N5)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-07-23
CY177247.1	Influenza A virus (A/mallard/California/1397/2013(H5N5)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-07-23
CY177271.1	Influenza A virus (A/mallard/California/1400/2013(H5N5)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-07-23
CY177279.1	Influenza A virus (A/mallard/California/1411/2013(H5N5)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-07-23
CY177305.1	Influenza A virus (A/mallard/California/1426/2013(H5N5)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-07-23
CY177321.1	Influenza A virus (A/mallard/California/1434/2013(H5N5)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-07-24
CY177329.1	Influenza A virus (A/mallard/California/1435/2013(H5N5)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2013-07-24
