name	title	country	host	date
PQ002154.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_rectal/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10
PQ378367.1	"Influenza A virus (A/cattle/CO/24-019381-007-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-07-02
PQ358305.1	"Influenza A virus (A/Duck/Jiangxi/631/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	China	Anatidae	2024-04-XX
PQ356350.1	"Influenza A virus (A/duck/Bangladesh/61785/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Bangladesh	"Anas sp."	2024-02-23
PQ356364.1	"Influenza A virus (A/duck/Bangladesh/61902/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Bangladesh	"Anas sp."	2024-02-23
PQ334661.1	"Influenza A virus (A/duck/Bangladesh/61788/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Bangladesh	"Anas sp."	2024-02-23
PQ334666.1	"Influenza A virus (A/duck/Bangladesh/61789/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Bangladesh	"Anas sp."	2024-02-23
PQ334693.1	"Influenza A virus (A/duck/Bangladesh/61856/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Bangladesh	"Anas sp."	2024-02-23
PQ334698.1	"Influenza A virus (A/duck/Bangladesh/61863/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Bangladesh	"Anas sp."	2024-02-23
PQ334722.1	"Influenza A virus (A/duck/Bangladesh/61861/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Bangladesh	"Anas sp."	2024-02-23
